"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Diffusion 4.nlogo"
"social-influence-experiment"
"07/03/2024 18:41:00:024 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","density","frac-influential","number-of-agents","network","social-influence","broadcast-influence","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with [adopted?]"
"30","0.3","0.3","100","random","1","0.2","0.7","0","0","0","0"
"29","0.3","0.3","100","random","0.9","0.2","0.7","3","93","68","25"
"27","0.3","0.3","100","random","0.7","0.2","0.7","4","98","68","30"
"29","0.3","0.3","100","random","0.9","0.2","0.7","4","97","70","27"
"27","0.3","0.3","100","random","0.7","0.2","0.7","5","99","69","30"
"29","0.3","0.3","100","random","0.9","0.2","0.7","5","99","70","29"
"29","0.3","0.3","100","random","0.9","0.2","0.7","6","100","70","30"
"30","0.3","0.3","100","random","1","0.2","0.7","1","25","20","5"
"27","0.3","0.3","100","random","0.7","0.2","0.7","6","100","70","30"
"30","0.3","0.3","100","random","1","0.2","0.7","2","49","37","12"
"30","0.3","0.3","100","random","1","0.2","0.7","3","81","58","23"
"30","0.3","0.3","100","random","1","0.2","0.7","4","99","70","29"
"30","0.3","0.3","100","random","1","0.2","0.7","5","100","70","30"
"31","0.3","0.3","100","random","0.1","0.2","0.7","0","0","0","0"
"31","0.3","0.3","100","random","0.1","0.2","0.7","1","21","18","3"
"33","0.3","0.3","100","random","0.3","0.2","0.7","0","0","0","0"
"31","0.3","0.3","100","random","0.1","0.2","0.7","2","38","33","5"
"32","0.3","0.3","100","random","0.2","0.2","0.7","0","0","0","0"
"31","0.3","0.3","100","random","0.1","0.2","0.7","3","50","40","10"
"33","0.3","0.3","100","random","0.3","0.2","0.7","1","20","14","6"
"34","0.3","0.3","100","random","0.4","0.2","0.7","0","0","0","0"
"32","0.3","0.3","100","random","0.2","0.2","0.7","1","24","20","4"
"31","0.3","0.3","100","random","0.1","0.2","0.7","4","62","46","16"
"33","0.3","0.3","100","random","0.3","0.2","0.7","2","47","34","13"
"34","0.3","0.3","100","random","0.4","0.2","0.7","1","17","14","3"
"31","0.3","0.3","100","random","0.1","0.2","0.7","5","74","53","21"
"32","0.3","0.3","100","random","0.2","0.2","0.7","2","44","35","9"
"33","0.3","0.3","100","random","0.3","0.2","0.7","3","65","48","17"
"31","0.3","0.3","100","random","0.1","0.2","0.7","6","80","56","24"
"34","0.3","0.3","100","random","0.4","0.2","0.7","2","44","31","13"
"31","0.3","0.3","100","random","0.1","0.2","0.7","7","88","63","25"
"32","0.3","0.3","100","random","0.2","0.2","0.7","3","57","44","13"
"33","0.3","0.3","100","random","0.3","0.2","0.7","4","77","58","19"
"31","0.3","0.3","100","random","0.1","0.2","0.7","8","89","64","25"
"32","0.3","0.3","100","random","0.2","0.2","0.7","4","71","51","20"
"34","0.3","0.3","100","random","0.4","0.2","0.7","3","67","47","20"
"33","0.3","0.3","100","random","0.3","0.2","0.7","5","85","63","22"
"31","0.3","0.3","100","random","0.1","0.2","0.7","9","94","67","27"
"32","0.3","0.3","100","random","0.2","0.2","0.7","5","82","58","24"
"34","0.3","0.3","100","random","0.4","0.2","0.7","4","78","56","22"
"33","0.3","0.3","100","random","0.3","0.2","0.7","6","91","66","25"
"31","0.3","0.3","100","random","0.1","0.2","0.7","10","95","68","27"
"32","0.3","0.3","100","random","0.2","0.2","0.7","6","87","61","26"
"34","0.3","0.3","100","random","0.4","0.2","0.7","5","81","58","23"
"33","0.3","0.3","100","random","0.3","0.2","0.7","7","95","68","27"
"31","0.3","0.3","100","random","0.1","0.2","0.7","11","97","69","28"
"34","0.3","0.3","100","random","0.4","0.2","0.7","6","91","64","27"
"31","0.3","0.3","100","random","0.1","0.2","0.7","12","98","70","28"
"34","0.3","0.3","100","random","0.4","0.2","0.7","7","98","70","28"
"31","0.3","0.3","100","random","0.1","0.2","0.7","13","99","70","29"
"32","0.3","0.3","100","random","0.2","0.2","0.7","7","94","66","28"
"34","0.3","0.3","100","random","0.4","0.2","0.7","8","98","70","28"
"33","0.3","0.3","100","random","0.3","0.2","0.7","8","97","69","28"
"31","0.3","0.3","100","random","0.1","0.2","0.7","14","100","70","30"
"32","0.3","0.3","100","random","0.2","0.2","0.7","8","95","66","29"
"34","0.3","0.3","100","random","0.4","0.2","0.7","9","99","70","29"
"33","0.3","0.3","100","random","0.3","0.2","0.7","9","98","69","29"
"34","0.3","0.3","100","random","0.4","0.2","0.7","10","100","70","30"
"32","0.3","0.3","100","random","0.2","0.2","0.7","9","98","68","30"
"33","0.3","0.3","100","random","0.3","0.2","0.7","10","99","69","30"
"32","0.3","0.3","100","random","0.2","0.2","0.7","10","99","69","30"
"33","0.3","0.3","100","random","0.3","0.2","0.7","11","100","70","30"
"32","0.3","0.3","100","random","0.2","0.2","0.7","11","99","69","30"
"32","0.3","0.3","100","random","0.2","0.2","0.7","12","99","69","30"
"32","0.3","0.3","100","random","0.2","0.2","0.7","13","100","70","30"
"36","0.3","0.3","100","random","0.6","0.2","0.7","0","0","0","0"
"35","0.3","0.3","100","random","0.5","0.2","0.7","0","0","0","0"
"35","0.3","0.3","100","random","0.5","0.2","0.7","1","25","20","5"
"36","0.3","0.3","100","random","0.6","0.2","0.7","1","24","14","10"
"35","0.3","0.3","100","random","0.5","0.2","0.7","2","50","38","12"
"36","0.3","0.3","100","random","0.6","0.2","0.7","2","50","34","16"
"38","0.3","0.3","100","random","0.8","0.2","0.7","0","0","0","0"
"35","0.3","0.3","100","random","0.5","0.2","0.7","3","69","52","17"
"36","0.3","0.3","100","random","0.6","0.2","0.7","3","76","54","22"
"35","0.3","0.3","100","random","0.5","0.2","0.7","4","82","58","24"
"36","0.3","0.3","100","random","0.6","0.2","0.7","4","93","65","28"
"38","0.3","0.3","100","random","0.8","0.2","0.7","1","24","17","7"
"36","0.3","0.3","100","random","0.6","0.2","0.7","5","97","69","28"
"35","0.3","0.3","100","random","0.5","0.2","0.7","5","89","64","25"
"37","0.3","0.3","100","random","0.7","0.2","0.7","0","0","0","0"
"35","0.3","0.3","100","random","0.5","0.2","0.7","6","97","69","28"
"36","0.3","0.3","100","random","0.6","0.2","0.7","6","98","69","29"
"35","0.3","0.3","100","random","0.5","0.2","0.7","7","100","70","30"
"36","0.3","0.3","100","random","0.6","0.2","0.7","7","100","70","30"
